time (UTC),latitude (degrees_north),BEUTI (mmol m-1 s-1)
2006-10-15T00:00:00Z,47.0,0.675
2006-11-15T00:00:00Z,31.0,0.309
2006-11-15T00:00:00Z,32.0,0.103
2006-11-15T00:00:00Z,33.0,0.027
2006-11-15T00:00:00Z,34.0,0.098
2006-11-15T00:00:00Z,35.0,0.993
2006-11-15T00:00:00Z,36.0,1.054
2006-11-15T00:00:00Z,37.0,1.038
2006-11-15T00:00:00Z,38.0,-0.666
2006-11-15T00:00:00Z,39.0,0.677
2006-11-15T00:00:00Z,40.0,-0.154
2006-11-15T00:00:00Z,41.0,-5.647
2006-11-15T00:00:00Z,42.0,-3.642
2006-11-15T00:00:00Z,43.0,-4.228
2006-11-15T00:00:00Z,44.0,-4.083
2006-11-15T00:00:00Z,45.0,-2.379
2006-11-15T00:00:00Z,46.0,-1.712
2006-11-15T00:00:00Z,47.0,-2.711
2006-12-15T00:00:00Z,31.0,0.344
2006-12-15T00:00:00Z,32.0,0.119
2006-12-15T00:00:00Z,33.0,0.35
2006-12-15T00:00:00Z,34.0,0.807
2006-12-15T00:00:00Z,35.0,1.607
2006-12-15T00:00:00Z,36.0,2.254
2006-12-15T00:00:00Z,37.0,2.567
2006-12-15T00:00:00Z,38.0,0.889
2006-12-15T00:00:00Z,39.0,2.333
2006-12-15T00:00:00Z,40.0,3.015
2006-12-15T00:00:00Z,41.0,-4.274
2006-12-15T00:00:00Z,42.0,-2.68
2006-12-15T00:00:00Z,43.0,-2.841
2006-12-15T00:00:00Z,44.0,-3.392
2006-12-15T00:00:00Z,45.0,-3.938
2006-12-15T00:00:00Z,46.0,-1.215
2006-12-15T00:00:00Z,47.0,-7.601
2007-01-15T00:00:00Z,31.0,0.868
2007-01-15T00:00:00Z,32.0,0.711
2007-01-15T00:00:00Z,33.0,1.087
2007-01-15T00:00:00Z,34.0,1.477
2007-01-15T00:00:00Z,35.0,5.16
2007-01-15T00:00:00Z,36.0,3.629
2007-01-15T00:00:00Z,37.0,8.153
2007-01-15T00:00:00Z,38.0,10.952
